length	cima	cima_log
10000	0.037000	0.001000
20000	0.071000	0.001000
30000	0.105000	0.001000
40000	0.140000	0.001000
50000	0.175000	0.001000
60000	0.210000	0.001000
70000	0.321000	0.001000
80000	0.279000	0.001000
90000	0.314000	0.001000
100000	0.355000	0.001000
110000	0.395000	0.001000
120000	0.426000	0.002000
130000	0.453000	0.001000
140000	0.503000	0.001000
150000	0.650000	0.001000
160000	1.238000	0.003000
170000	1.277000	0.001000
180000	0.651000	0.001000
190000	0.694000	0.002000
200000	0.674000	0.002000
210000	0.700000	0.011000
220000	0.712000	0.001000
230000	0.774000	0.001000
240000	0.768000	0.002000
250000	0.830000	0.001000
260000	0.816000	0.001000
270000	0.854000	0.001000
280000	0.884000	0.001000
290000	0.917000	0.001000
300000	0.944000	0.001000
310000	0.995000	0.002000
320000	0.978000	0.001000
330000	1.020000	0.001000
340000	1.032000	0.000000
350000	1.056000	0.000000
360000	1.084000	0.001000
370000	1.131000	0.002000
380000	1.229000	0.001000
390000	1.244000	0.001000
400000	1.776000	0.002000
410000	1.310000	0.001000
420000	1.337000	0.001000
430000	1.378000	0.012000
440000	1.641000	0.002000
450000	1.460000	0.002000
460000	1.445000	0.001000
470000	1.432000	0.001000
480000	1.414000	0.001000
490000	1.522000	0.001000
500000	1.596000	0.001000
510000	1.578000	0.001000
520000	1.599000	0.001000
530000	1.629000	0.001000
540000	1.658000	0.001000
550000	1.746000	0.002000
560000	1.653000	0.001000
570000	1.711000	0.001000
580000	1.719000	0.001000
590000	1.901000	0.003000
600000	4.433000	0.003000
610000	2.712000	0.002000
620000	1.833000	0.001000
630000	2.031000	0.003000
640000	2.112000	0.002000
650000	2.101000	0.002000
660000	2.121000	0.004000
670000	2.148000	0.002000
680000	2.063000	0.001000
690000	2.118000	0.001000
700000	2.116000	0.001000
710000	2.144000	0.001000
720000	2.172000	0.001000
730000	2.204000	0.001000
740000	2.198000	0.001000
750000	2.227000	0.002000
760000	2.247000	0.001000
770000	2.282000	0.002000
780000	2.343000	0.002000
790000	2.603000	0.002000
800000	2.537000	0.001000
810000	2.421000	0.001000
820000	2.437000	0.001000
830000	2.461000	0.001000
840000	2.520000	0.001000
850000	2.515000	0.002000
860000	2.551000	0.001000
870000	2.655000	0.002000
880000	2.645000	0.001000
890000	2.648000	0.001000
900000	2.663000	0.001000
910000	2.706000	0.001000
920000	2.730000	0.001000
930000	2.782000	0.001000
940000	2.785000	0.001000
950000	2.846000	0.002000
960000	2.849000	0.001000
970000	2.885000	0.002000
980000	6.718000	0.001000
990000	2.980000	0.001000
